web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,Nb personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,09/10/2023,21/09/2024,28/09/2024,400,400,MOBILHOME 6 personnes - 3 chambres - 40 m²,,Camping La Kilienne,6 Adultes, 62760 WARLINCOURT LES PAS,,38,camping-la-kilienne-78790,
,09/10/2023,13/07/2024,20/07/2024,500,500,TENTE TOILE ET BOIS 4 personnes - Coco sweet To,,Camping La Kilienne,4 Adultes, 62760 WARLINCOURT LES PAS,,28,camping-la-kilienne-78790,
,09/10/2023,13/07/2024,20/07/2024,830,830,MOBILHOME 4 personnes - MH To,,Camping La Kilienne,4 Adultes, 62760 WARLINCOURT LES PAS,,28,camping-la-kilienne-78790,
,09/10/2023,13/07/2024,20/07/2024,920,920,MOBILHOME 6 personnes - Mh To,,Camping La Kilienne,6 Adultes, 62760 WARLINCOURT LES PAS,,28,camping-la-kilienne-78790,
,09/10/2023,28/04/2024,05/05/2024,400,400,MOBILHOME 5 personnes - Farniente,,Camping de la Claysse,5 Adultes, 07460 SAINT SAUVEUR DE CRUZIERES,,17,camping-de-la-claysse-77921,
,09/10/2023,28/04/2024,05/05/2024,400,400,MOBILHOME 6 personnes - Farniente Peps,,Camping de la Claysse,6 Adultes, 07460 SAINT SAUVEUR DE CRUZIERES,,17,camping-de-la-claysse-77921,
,09/10/2023,28/04/2024,05/05/2024,400,400,MOBILHOME 4 personnes - Iris,,Camping de la Claysse,4 Adultes, 07460 SAINT SAUVEUR DE CRUZIERES,,17,camping-de-la-claysse-77921,
,09/10/2023,21/10/2023,28/10/2023,238,238,CHALET 2 personnes - randonneur Bleu 1 lit double,,Camping La Chaumière,2 Adultes, 59285 BUYSSCHEURE,,42,camping-la-chaumiere-86071,
,09/10/2023,21/10/2023,28/10/2023,238,238,CHALET 2 personnes - randonneur Rose 2 lits simple,,Camping La Chaumière,2 Adultes, 59285 BUYSSCHEURE,,42,camping-la-chaumiere-86071,
,09/10/2023,21/10/2023,28/10/2023,238,238,CHALET 2 personnes - randonneur Jaune 2 lits simple,,Camping La Chaumière,2 Adultes, 59285 BUYSSCHEURE,,42,camping-la-chaumiere-86071,
,09/10/2023,21/10/2023,28/10/2023,490,490,MOBILHOME 6 personnes - 3 chambres Curry,,Camping La Chaumière,6 Adultes, 59285 BUYSSCHEURE,,42,camping-la-chaumiere-86071,
,09/10/2023,21/10/2023,28/10/2023,490,490,MOBILHOME 6 personnes - 3 chambres Fuchia,,Camping La Chaumière,6 Adultes, 59285 BUYSSCHEURE,,42,camping-la-chaumiere-86071,
,09/10/2023,04/02/2024,11/02/2024,290,290,CHALET 3 personnes - Chalet Confort 16 m² - 1 chambre - climatisation (possibilité couchage d'appoint) 2 pers,,Camping Les Casteillets,2 Adultes,Chemin de l'Ille ,,5,camping-les-casteillets-79412,
,09/10/2023,04/02/2024,11/02/2024,330,330,MOBILHOME 4 personnes - Confort 28 m² - 2 chambres - climatisation,,Camping Les Casteillets,4 Adultes,Chemin de l'Ille ,,5,camping-les-casteillets-79412,
,09/10/2023,20/07/2024,27/07/2024,385,385,EMPLACEMENT - électrifié,,Camping maeva Escapades l'Arbre d'Or,, 40160 PARENTIS EN BORN,,29,camping-maeva-escapades-l-arbre-d-or-76572,
,09/10/2023,20/07/2024,27/07/2024,879,703.20,BUNGALOW TOILÉ 5 personnes - 2 chambres - 21m² sans sanitaires,,Camping maeva Escapades l'Arbre d'Or,4 Adultes, 40160 PARENTIS EN BORN,,29,camping-maeva-escapades-l-arbre-d-or-76572,
